state,name,value
US,United States,40763043
US,United States,40485829
US,United States,41040257
US,United States,12.4
US,United States,12.6
US,United States,11445264
US,United States,11310265
US,United States,11580263
US,United States,16
US,United States,15.8
US,United States,16.2
US,United States,8139044
US,United States,8036505
US,United States,8241583
US,United States,15.3
US,United States,15.1
US,United States,15.5
US,United States,77719
US,United States,77533
US,United States,77905
US,United States,3027969
US,United States,2977590
US,United States,3078348
US,United States,16.8
US,United States,16.5
US,United States,17.1
AL,Alabama,780043
AL,Alabama,762230
AL,Alabama,797856
AL,Alabama,15.7
AL,Alabama,15.3
AL,Alabama,16.1
AL,Alabama,236320
AL,Alabama,226963
AL,Alabama,245677
AL,Alabama,21.3
AL,Alabama,20.5
AL,Alabama,22.1
AL,Alabama,165981
AL,Alabama,157700
AL,Alabama,174262
AL,Alabama,20.2
AL,Alabama,19.2
AL,Alabama,21.2
AL,Alabama,62248
AL,Alabama,61546
AL,Alabama,62950
AL,Alabama,66457
AL,Alabama,61943
AL,Alabama,70971
AL,Alabama,23.2
AL,Alabama,21.6
AL,Alabama,24.8
AL,Autauga County,2
AL,Autauga County,2
AL,Autauga County,2
AL,Autauga County,4
AL,Autauga County,7004
AL,Autauga County,5599
AL,Autauga County,8409
AL,Autauga County,11.7
AL,Autauga County,9.3
AL,Autauga County,14.1
AL,Autauga County,2363
AL,Autauga County,1759
AL,Autauga County,2967
AL,Autauga County,17
AL,Autauga County,12.7
AL,Autauga County,21.3
AL,Autauga County,1722
AL,Autauga County,1254
AL,Autauga County,2190
AL,Autauga County,16.7
AL,Autauga County,12.2
AL,Autauga County,21.2
AL,Autauga County,68857
AL,Autauga County,62667
AL,Autauga County,75047
AL,Baldwin County,3
AL,Baldwin County,2
AL,Baldwin County,3
AL,Baldwin County,4
AL,Baldwin County,24942
AL,Baldwin County,20972
AL,Baldwin County,28912
AL,Baldwin County,10
AL,Baldwin County,8.4
AL,Baldwin County,11.6
AL,Baldwin County,7334
AL,Baldwin County,5752
AL,Baldwin County,8916
AL,Baldwin County,14.1
AL,Baldwin County,11.1
AL,Baldwin County,17.1
AL,Baldwin County,5105
AL,Baldwin County,3889
AL,Baldwin County,6321
AL,Baldwin County,13
AL,Baldwin County,9.9
AL,Baldwin County,16.1
AL,Baldwin County,74248
AL,Baldwin County,69046
AL,Baldwin County,79450
AL,Barbour County,6
AL,Barbour County,6
AL,Barbour County,6
AL,Barbour County,5
AL,Barbour County,5585
AL,Barbour County,4266
AL,Barbour County,6904
AL,Barbour County,25.5
AL,Barbour County,19.5
AL,Barbour County,31.5
AL,Barbour County,1738
AL,Barbour County,1187
AL,Barbour County,2289
AL,Barbour County,34.8
AL,Barbour County,23.8
AL,Barbour County,45.8
AL,Barbour County,1226
AL,Barbour County,813
AL,Barbour County,1639
AL,Barbour County,33.2
AL,Barbour County,22
AL,Barbour County,44.4
AL,Barbour County,45298
AL,Barbour County,40531
AL,Barbour County,50065
AL,Bibb County,1
AL,Bibb County,1
AL,Bibb County,1
AL,Bibb County,1
AL,Bibb County,3870
AL,Bibb County,3112
AL,Bibb County,4628
AL,Bibb County,19.4
